question_text,module_no,marks,blooms_level
Discuss the advantages of using the DBMS approach.,1,6,Understanding
Explain three-schema architecture with a neat diagram. Why do we need mapping between schema levels?,1,6,Understanding
Explain the component modules of DBMS and their interaction with the help of a diagram.,1,8,Understanding
Define the following terms: (i) Weak entity (ii) DBMS catalog (iii) Snapshot (iv) Value sets (v) Cardinality ratio (vi) Degree of a relationship,1,6,remembering
Explain the different categories of data models.,1,4,Understanding
Write the ER diagram for an employee database. The constraints are as follows: (i) An employee works for a department (ii) Every department is headed by a manager (iii) An employee works on one or more projects (iv) An employee has dependents (v) A department controls the projects,2,8,applying
What is meant by Integrity Constraint? Explain the importance of referential integrity constraint. How referential integrity constraint is implemented in SQL.,2,6,Understanding
Write the relational algebra operations to perform the following queries: (i) Retrieve the name and address of all employees who work for the “Accounts” department. (ii) Retrieve the names of employers who have no dependents. (iii) Find the names of employees who work on all the projects controlled by department number 2.,2,6,applying
"Explain the relational algebra operations from Set theory, with examples.",2,8,Understanding
Explain the ER to relational mapping algorithm with suitable example for each step.,2,6,Understanding
Write the SQL queries for the following database schema... (3 queries as listed),2,6,applying
Explain with examples in SQL: (i) INSERT command (ii) UPDATE command,2,4,applying
What is normalization? Explain 1NF and 2NF with examples.,3,10,Understanding
"Given R(A, B, C, D, E) and F = {AB → C, B → D, C → E}. Find the candidate key. Decompose R into 3NF.",3,10,analyzing 
Define trivial functional dependency. Explain the inference rules for functional dependencies.,3,10,remembering
"What is meant by lossless join decomposition? Test whether the decomposition D = {R1(A,B,C), R2(C,D,E)} of R(A,B,C,D,E) with F = {A→B, C→D} is lossless.",3,10,analyzing 
What is an ordered index? Explain B+ tree index structure.,4,10,Understanding
List the different types of file organization. Explain heap file organization.,4,10,remembering
What is a cost of query? List the different costs to execute a query.,4,5,remembering
Explain selection operation with necessary algorithms.,4,5,Understanding
Explain the steps in query processing.,4,10,Understanding
What is a transaction? Explain ACID properties,5,10,Understanding
Explain two-phase locking protocol.,5,10,Understanding
Differentiate between serial and serializable schedule,5,5,analyzing 
What is a deadlock? How is it prevented? Explain wait-die and wound-wait schemes.,5,5,analyzing 
Explain immediate update recovery technique.,5,10,Understanding
Define the following terms: i) Database ii) DBMS catalog iii) Entity iv) Snapshot v) Degree of a relationship,1,5,remembering
Explain types of end-users with suitable examples,1,5,Understanding
List and explain advantages of using DBMS approach,1,10,Understanding
Define the following terms: i) Cardinality ii) Weak entity iii) Program data independence iv) Total participation v) Value sets,1,5,remembering
Describe three schema architecture. Why do we need mappings between schema levels?,1,5,Understanding
Explain different types of attributes in ER model with suitable examples for each,1,10,Understanding
Explain the entity integrity and referential integrity constraints. Why is each considered important. Give examples,2,5,Understanding
Discuss common and natural join with suitable examples using relational algebra notation,2,5,Understanding
"Given the schema: Passenger, Agency, Flight, Booking. Give relation algebra expression for 5 different queries",2,10,Applying
Explain the ER to relational mapping algorithm with suitable example for each step,2,10,Understanding
Write SQL query for Employee database with 5 different complex queries,2,10,Applying
Explain cursors and its properties in embedded SQL with suitable example,3,5,Understanding
How are triggers defined in SQL? Explain with example,3,5,Understanding
"Illustrate insert, delete, update, alter and drop statements in SQL",3,10,Applying
"With an example, explain stored procedures in SQL",3,5,Understanding
Briefly explain types of JDBC drives,3,5,Understanding
Illustrate aggregate functions in SQL,3,10,Applying
Explain types of update anomalies with examples,4,5,Understanding
Explain Armstrong inference rules,4,5,Understanding
"What is the need for normalization? Explain 1NF, 2NF and 3NF with examples",4,10,Understanding
What is functional dependency? Write an algorithm to find minimal cover for set of functional dependencies,4,10,Analyzing
