sl.no,modules,questions,marks,blooms_level,difficulty
1,1,Discuss the advantages of using the DBMS approach.,6,Understanding,easy
2,1,Explain three-schema architecture with a neat diagram. Why do we need mapping between schema levels?,6,Understanding,medium
3,1,Explain the component modules of DBMS and their interaction with the help of a diagram.,8,Understanding,medium
4,1,Define the following terms: (i) Weak entity (ii) DBMS catalog (iii) Snapshot (iv) Value sets (v) Cardinality ratio (vi) Degree of a relationship,6,remembering,easy
5,1,Explain the different categories of data models.,4,Understanding,easy
6,2,Write the ER diagram for an employee database. The constraints are as follows: (i) An employee works for a department (ii) Every department is headed by a manager (iii) An employee works on one or more projects (iv) An employee has dependents (v) A department controls the projects,8,applying,medium
7,2,What is meant by Integrity Constraint? Explain the importance of referential integrity constraint. How referential integrity constraint is implemented in SQL.,6,Understanding,medium
8,2,Write the relational algebra operations to perform the following queries: (i) Retrieve the name and address of all employees who work for the “Accounts” department. (ii) Retrieve the names of employers who have no dependents. (iii) Find the names of employees who work on all the projects controlled by department number 2.,6,applying,hard
9,2,"Explain the relational algebra operations from Set theory, with examples.",8,Understanding,medium
10,2,Explain the ER to relational mapping algorithm with suitable example for each step.,6,Understanding,medium
11,2,Write the SQL queries for the following database schema... (3 queries as listed),6,applying,medium
12,2,Explain with examples in SQL: (i) INSERT command (ii) UPDATE command,4,applying,easy
13,3,What is normalization? Explain 1NF and 2NF with examples.,10,Understanding,easy
14,3,"Given R(A, B, C, D, E) and F = {AB → C, B → D, C → E}. Find the candidate key. Decompose R into 3NF.",10,analyzing ,hard
15,3,Define trivial functional dependency. Explain the inference rules for functional dependencies.,10,remembering,easy
16,3,"What is meant by lossless join decomposition? Test whether the decomposition D = {R1(A,B,C), R2(C,D,E)} of R(A,B,C,D,E) with F = {A→B, C→D} is lossless.",10,analyzing ,hard
17,4,What is an ordered index? Explain B+ tree index structure.,10,Understanding,medium
18,4,List the different types of file organization. Explain heap file organization.,10,remembering,easy
19,4,What is a cost of query? List the different costs to execute a query.,5,remembering,easy
20,4,Explain selection operation with necessary algorithms.,5,Understanding,medium
21,4,Explain the steps in query processing.,10,Understanding,medium
22,5,What is a transaction? Explain ACID properties,10,Understanding,medium
23,5,Explain two-phase locking protocol.,10,Understanding,medium
24,5,Differentiate between serial and serializable schedule,5,analyzing ,medium
25,5,What is a deadlock? How is it prevented? Explain wait-die and wound-wait schemes.,5,analyzing ,hard
26,5,Explain immediate update recovery technique.,10,Understanding,medium
27,1,Define the following terms: i) Database ii) DBMS catalog iii) Entity iv) Snapshot v) Degree of a relationship,5,remembering,easy
28,1,Explain types of end-users with suitable examples,5,Understanding,easy
29,1,List and explain advantages of using DBMS approach,10,Understanding,easy
30,1,Define the following terms: i) Cardinality ii) Weak entity iii) Program data independence iv) Total participation v) Value sets,5,remembering,easy
31,1,Describe three schema architecture. Why do we need mappings between schema levels?,5,Understanding,medium
32,1,Explain different types of attributes in ER model with suitable examples for each,10,Understanding,medium
33,2,Explain the entity integrity and referential integrity constraints. Why is each considered important. Give examples,5,Understanding,medium
34,2,Discuss common and natural join with suitable examples using relational algebra notation,5,Understanding,medium
35,2,"Given the schema: Passenger, Agency, Flight, Booking. Give relation algebra expression for 5 different queries",10,Applying,Hard
36,2,Explain the ER to relational mapping algorithm with suitable example for each step,10,Understanding,Medium
37,2,Write SQL query for Employee database with 5 different complex queries,10,Applying,Hard
38,3,Explain cursors and its properties in embedded SQL with suitable example,5,Understanding,Medium
39,3,How are triggers defined in SQL? Explain with example,5,Understanding,Medium
40,3,"Illustrate insert, delete, update, alter and drop statements in SQL",10,Applying,Medium
41,3,"With an example, explain stored procedures in SQL",5,Understanding,Medium
42,3,Briefly explain types of JDBC drives,5,Understanding,Medium
43,3,Illustrate aggregate functions in SQL,10,Applying,Medium
44,4,Explain types of update anomalies with examples,5,Understanding,Medium
